time,pnl,equity
2023/7/9 10:45,12.76011182,27079.93075
2023/7/9 10:50,12.76011182,27079.93075
2023/7/9 10:55,12.76011182,27079.93075
2023/7/9 11:00,12.76011182,27079.93075
2023/7/9 11:05,15.14475113,27082.31539
2023/7/9 11:10,15.14475113,27082.31539
2023/7/9 11:15,15.14475113,27082.31539
2023/7/9 11:20,15.14475113,27082.31539
2023/7/9 11:25,15.14475113,27082.31539
2023/7/9 11:30,15.14475113,27082.31539
2023/7/9 11:35,15.14475113,27082.31539
2023/7/9 11:40,15.14475113,27082.31539
2023/7/9 11:45,15.14475113,27082.31539
2023/7/9 11:50,15.02206335,27082.19271
2023/7/9 11:55,11.9319703,27079.10261
2023/7/9 12:00,11.9319703,27079.10261
2023/7/9 12:05,11.9319703,27079.10261
2023/7/9 12:10,11.9319703,27079.10261
2023/7/9 12:15,11.9319703,27079.10261
2023/7/9 12:20,11.28299842,27078.45364
2023/7/9 12:25,15.20581885,27082.37646
2023/7/9 12:30,14.79612016,27081.96676
2023/7/9 12:35,37.76555288,27104.9362
2023/7/9 12:40,38.62158896,27105.79223
2023/7/9 12:45,42.38339348,27109.55404
2023/7/9 12:50,42.38339348,27109.55404
2023/7/9 12:55,48.60410669,27115.77475
2023/7/9 13:00,48.60410669,27115.77475
2023/7/9 13:05,48.60410669,27115.77475
2023/7/9 13:10,45.04846122,27112.2191
2023/7/9 13:15,54.62084991,27121.79149
2023/7/9 13:20,54.62084991,27121.79149
2023/7/9 13:25,59.7480244,27126.91867
2023/7/9 13:30,59.7480244,27126.91867
2023/7/9 13:35,62.09212469,27129.26277
2023/7/9 13:40,62.40729207,27129.57793
2023/7/9 13:45,61.31556818,27128.48621
2023/7/9 13:50,60.83720659,27128.00785
2023/7/9 13:55,63.2334425,27130.40408
2023/7/9 14:00,61.5701446,27128.74079
2023/7/9 14:05,77.84763581,27145.01828
2023/7/9 14:10,64.07676866,27131.24741
2023/7/9 14:15,59.77222818,27126.94287
2023/7/9 14:20,71.01538344,27138.18603
2023/7/9 14:25,54.87607822,27122.04672
2023/7/9 14:30,54.87607822,27122.04672
2023/7/9 14:35,165.4527663,27232.62341
2023/7/9 14:40,130.9924954,27198.16314
2023/7/9 14:45,92.92297587,27160.09362
2023/7/9 14:50,52.32306963,27119.49371
2023/7/9 14:55,53.40305307,27120.5737
2023/7/9 15:00,103.5560266,27170.72667
2023/7/9 15:05,138.483825,27205.65447
2023/7/9 15:10,160.953218,27228.12386
2023/7/9 15:15,65.3566376,27132.52728
2023/7/9 15:20,119.4247546,27186.5954
2023/7/9 15:25,135.7883639,27202.95901
2023/7/9 15:30,135.7883639,27202.95901
2023/7/9 15:35,135.7883639,27202.95901
2023/7/9 15:40,135.7883639,27202.95901
2023/7/9 15:45,136.8060117,27203.97665
2023/7/9 15:50,136.8060117,27203.97665
2023/7/9 15:55,135.6958618,27202.8665
